Section,Subsection,Subsubsection,Topic,Paragraph
,,,,"134. Where, relating to a default event, any part of exposure has been forgiven or written off before or at the date of default and the amount forgiven or written off is not included in the outstanding amount of the credit obligation at the moment of default the amount of the exposure that was forgiven or written off should be added to the outstanding amount of the credit obligation at the moment of default for both the calculation of economic loss as specified in paragraph 132 in the numerator, and the calculation of the outstanding amount of credit obligation in the denominator of the realised LGD."
,,,,"135. In the case of exposures that return to non-defaulted status, institutions should calculate economic loss as for all other defaulted exposures with the only difference that an additional recovery cash flow should be added to the calculation as if a payment had been made by the obligor in the amount that was outstanding at the date of the return to non-defaulted status, including any principal, interests and fees ('artificial cash flow'). This artificial cash flow should be discounted to the moment of default in the same manner as all observed cash flows. Where the exposures meet the criteria of paragraph 101, the realised LGD should be calculated with the reference to the date of the first default event taking into account all cash flows observed from the date of the first default event, including those observed during the period between the first and the second defaulted status, without adding any artificial cash flows."
,,,,"136. Where institutions open new facilities to replace previously defaulted facilities as part of restructuring or for technical reasons, they should calculate the realised LGDs based on the originally defaulted facilities. For this purpose, institutions should have a sound mechanism to allocate observed costs, recoveries and any additional drawings to original facilities."
,,,,"6.3.1.2 Treatment of fees, interest and additional drawings after default"
,,,,"137. For the purpose of Article 181(1)(i) of Regulation (EU) No 575/2013, institutions should take into account in the calculation of realised LGD any fees for delays in payments that have been capitalised in the institution's income statement before the moment of default by including them in the outstanding amount of the credit obligation at the moment of default in the numerator and denominator of the realised LGD. Where the fees were extended to the obligor in order to recover direct costs already incurred by the institution and these costs are already included in the calculation of the economic loss, institutions should not add these amounts to the economic loss or outstanding amount again. Any fees capitalised after the moment of default should not increase the amount of economic loss or amount outstanding at the moment of default. However, all recoveries, including those related to fees capitalised after default, should be included in the calculation of economic loss."
,,,,138. Institutions should apply the treatment specified in paragraph 137 to any interest capitalised in the institution's income statement before and after the moment of default.
,,,,"139. In accordance with Article 182(1)(c) of Regulation (EU) No 575/2013 institutions that obtained permission to use own estimates of LGD and conversion are required to reflect the possibility of additional drawings by the obligor up to and after the time of default in their estimates of conversion factors. In the case of retail exposures, in accordance with Articles 181(2)(b) and 182(3) of this Regulation institutions may reflect future drawings either in their conversion factors or in their LGD estimates. These future drawings should be understood as additional drawings by the obligor after the moment of default."
,,,,140. Where institutions include additional drawings by the obligor after the moment of default in their conversion factors they should calculate realised LGD as a ratio of the economic loss to the outstanding amount of the credit obligation at the moment of default increased by the amount of additional drawings by the obligor after the moment of default discounted to the moment of default.
,,,,"141. For retail exposures, where institutions do not include additional drawings by the obligor after the moment of default in their conversion factors they should calculate realised LGD as a ratio of the economic loss to the outstanding amount of the credit obligation at the moment of default and they should not increase the denominator of the ratio by the value of additional drawings by the obligor after the moment of default."
,,,,142. Irrespective of whether institutions reflect future drawings in their conversion factors or in their LGD estimates they should calculate the economic loss used in the numerator of the realised LGD including the additional drawings after the moment of default and all realised recoveries discounted to the moment of default.
,,,,6.3.1.3 Discounting rate
,,,,"143. For the purpose of the calculation of economic loss, in accordance with point (2) of Article 5 of Regulation (EU) No 575/2013, institutions should discount all recoveries, costs and additional drawings after the moment of default using an annual discounting rate composed of a primary interbank offered rate applicable at the moment of default increased by an add-on of 5%-points. For this purpose the primary interbank offered rate should be considered the 3-month EURIBOR or a comparable liquid interest rate in the currency of the exposure."
,,,,6.3.1.4 Direct and indirect costs
,,,,"144. For the purpose of the calculation of the realised LGDs, institutions should take into account all material direct and indirect cost related to the recovery process. Where any material direct or indirect costs relating to the collection on exposures and the default of the respective counterparty have been incurred before the moment of default institutions should include these costs in the LGD estimation unless at least one of the following conditions is met: (a) these costs are clearly included in the outstanding amount of the credit obligation at the moment of default; (b) these costs are associated with the previous default of the same obligor, which is not considered a multiple default in accordance with paragraph 101."
,,,,"145. Direct costs should include the costs of outsourced collection services, legal costs, the cost of hedges and insurances and all other costs directly attributable to the collection on a specific exposure. Institutions should consider all direct costs as material."
,,,,"146. Indirect costs should include all costs stemming from the running of the institution's recovery processes, overall costs of outsourced collection services not included as direct costs, and all other costs related to the collection on defaulted exposures that cannot be directly attributed to collection on a specific exposure. Institutions should include in their estimation of indirect costs an appropriate percentage of other ongoing costs, such as institutions' overheads related to the recovery processes, unless they can demonstrate that these costs are immaterial."
,,6.3.2 Long-run average LGD,,
,,,,6.3.2.1 Historical observation period
,,,,"147. The historical observation period should be as broad as possible and should contain data from various periods with differing economic circumstances. For this purpose institutions should at a minimum select a historical observation period in such a way that: (a) the length of the historical observation period, i.e. the timespan between the oldest default considered in the RDS and the moment of the LGD estimation, covers at least the minimum length specified in Article 181(1)(j) of Regulation (EU) No 575/2013 for exposures to corporates, institutions, central governments and central banks and, for retail exposures, the period specified in Article 181(2) subparagraph 2 of that Regulation and, where applicable, Commission Delegated Regulation adopting technical standards laid down in Article 181(3)(b) of that Regulation; (b) it ensures that the RDS includes a sufficient number of closed recovery processes in order to provide robust LGD estimates; (c) it is composed of consecutive periods and includes the most recent periods before the moment of LGD estimation; (d) it includes the full period for which the institution is reasonably able to replicate the currently applicable definition of default; (e) all available internal data is considered 'relevant', as referred to in Articles 181(1)(j) and 181(2) subparagraph 2 of Regulation (EU) No 575/2013 and is included in the historical observation period."
,,,,"148. In assessing whether the RDS includes a sufficient number of closed recovery processes in accordance with paragraph 147(b), institutions should take into account the number of closed recovery processes in the total number of observations."
,,,,6.3.2.2 Calculation of long-run average LGD
,,,,149. In accordance with letter (a) of Article 181(1) of Regulation (EU) No 575/2013 institutions are required to calculate the long-run average LGD separately for each facility grade or pool. In this context institutions should calculate the long-run average LGD also at the level of the portfolio covered by the LGD model. In the calculation of long-run average LGD institutions should use all defaults observed in the historical observation period that fall within the scope of the LGD model.
,,,,"150. Without prejudice to Article 181(2) of Regulation (EU) No 575/2013 institutions should calculate the long-run average LGD as an arithmetic average of realised LGDs over a historical observation period weighted by a number of defaults. Institutions should not use for that purpose any averages of LGDs calculated on a subset of observations, in particular any yearly average LGDs, unless they use this method to reflect higher weights of more recent data on retail exposures in accordance with Article 181(2) of Regulation (EU) No 575/2013."
,,,,151. Where institutions do not give equal importance to all historical data for retail exposures in accordance with Article 181(2) of Regulation (EU) No 575/2013 they should be able to demonstrate in a documented manner that the use of higher weights for more recent data is justified by better prediction of loss rates. In particular where zero or very small weights are applied to specific periods this should be duly justified or lead to more conservative estimates.
,,,,152. In specifying the weights in accordance with paragraph 151 institutions should take into account the representativeness of data assessed in accordance with section 4.2.4 as well as the economic and market conditions that are represented by the data.
,,,,6.3.2.3 Treatment of incomplete recovery processes
,,,,"153. For the purposes of letter (a) of Article 181(1) of Regulation (EU) No 575/2013, in relation to the use of all defaults observed during the historical observation period within the data sources for LGD estimation, institutions should ensure that the relevant information from incomplete recovery processes is taken into account in a conservative manner. The LGD estimation should be based on the long-run average LGD."
,,,,154. Institutions should calculate the observed average LGD for each facility grade or pool and at the level of the portfolio covered by the LGD model taking into account realised LGDs on all defaults observed in the historical observation period related to closed recovery processes in accordance with paragraphs 155 to 157 without including any expected future recoveries. The observed average LGD should be weighted by the number of defaults included in the calculation.
,,,,155. Institutions should clearly specify in their internal policies the moment of closing the recovery processes. All recovery processes that have been closed should be treated as such for the purpose of the calculation of the observed average LGD.
,,,,"156. Institutions should define the maximum period of the recovery process for a given type of exposures from the moment of default that reflects the expected period of time observed on the closed recovery processes during which the institution realises the vast majority of the recoveries, without taking into account the outlier observations with significantly longer recovery processes. The maximum period of the recovery processes should be specified in a way that ensures sufficient data for the estimation of the recoveries within this period for the incomplete recovery processes. The length of the maximum period of the recovery processes may be different for different types of exposures. The specification of the maximum period of the recovery process should be clearly documented and supported by evidence of the observed recovery patterns, and should be coherent with the nature of the transactions and the type of exposures. Specification of the maximum period of the recovery process for the purpose of the long-run average LGD should not prevent institutions from taking recovery actions where necessary, even with regard to exposures which remain in default for a period of time longer than the maximum period of the recovery process specified for this type of exposures."
,,,,"157. For the purpose of the calculation of the observed average LGD, institutions should recognise without undue delay as closed recovery processes all exposures in default which fall into at least one of the following categories: (a) exposures for which the institution does not expect to take any further recovery actions; (b) exposures that remain in defaulted status for a period of time longer than the maximum period of the recovery process specified for this type of exposures; (c) exposures fully repaid or written-off; (d) exposures that have been reclassified to non-defaulted status. With regard to the defaulted exposures falling under the categories in points (a) and (b), all recoveries and costs realised before or at the time of estimation should be considered for the purpose of the calculation of the observed average LGD, including any recoveries realised after the maximum period of the recovery processes."
,,,,158. Institutions should obtain the long-run average LGD by adjusting the observed average
,,,,"LGD taking into account the information related to processes that were not closed ('incomplete recovery processes') and where the time from the moment of default until the moment of estimation is shorter than the maximum period of the recovery process specified for this type of exposures. For these processes, institutions should comply with both of the following: (a) they should take into account all observed costs and recoveries; (b) they may estimate future costs and recoveries, both those stemming from the realisation of the existing collaterals and those to be realised without the use of collaterals within the maximum period of the recovery processes."
,,,,"159. The estimation referred to in paragraph 158(b) should comply with the following principles: (a) for the purpose of estimation of the future costs and recoveries institutions should analyse the costs and recoveries realised on these exposures until the moment of estimation, in comparison with the average costs and recoveries realised during a similar period of time on similar exposures; for this purpose institutions should analyse the recovery patterns observed on both closed and incomplete recovery processes, taking into account only costs and recoveries realised up to the moment of estimation; (b) the assumptions underlying the expected future costs and recoveries as well as the adjustment to the observed average LGD should be: i. proven accurate through back-testing; ii. based on a reasonable economic rationale; iii. proportionate, taking into consideration that LGD estimates should be based on the long-run average LGD that reflects the average LGDs weighted by the number of defaults using all defaults observed during a historical observation period. (c) in estimating the future recoveries institutions should take into account the potential bias stemming from incomplete recovery processes being characterised by longer average recovery processes or lower average recoveries than closed recovery processes; (d) in estimating the future recoveries stemming from the realisation of the existing collaterals institutions should take into account the legal certainty of the claims on the collateral and realistic assumptions regarding the possibility of its realisation; (e) the adjustment of the observed average LGD may be estimated at the level of individual exposures, at the level of grade or pool or at the level of portfolio covered by the LGD model; (f) any uncertainty related to the estimation of the future recoveries on incomplete recovery processes should be reflected in an adequate MoC applied in accordance with section 4.4."
,,,,6.3.2.4 Treatment of cases with no loss or positive outcome
,,,,"160. Where institutions observe that they realised profit on their observations of defaults, the realised LGD on these observations should equal zero for the purpose of calculation of the  observed average LGD and the estimation of the long-run average LGD. Institutions may use the information on the realised LGDs before the application of this floor in the process of model development for the purpose of risk differentiation."
,,6.3.3 Calibration to the long-run average LGD,,
,,,,"161. Institutions should calibrate their LGD estimates to the long run average LGD calculated in accordance with section 6.3.2. For this purpose institutions should choose a calibration method that is appropriate for their LGD estimation methodology from the following approaches: (a) the calibration of LGD estimates to the long-run average LGD calculated for each grade or pool, in which case they should provide additional calibration tests at the level of the relevant calibration segment; (b) the calibration of LGD estimates to the long-run average LGD calculated at the level of calibration segment, in particular where they use direct LGD estimates in accordance with Article 169(3) of Regulation (EU) No 575/2013, including where they use LGD estimation methodology based on intermediate parameters. In this case institutions should at least compare this long-run average LGD with the average LGD estimate applied to the same set of observations as those used for calculating the long-run average LGD and, where necessary, correct the individual LGD estimates for the application portfolio accordingly, for instance by using a scaling factor. Where realised values are higher than estimated values at the level of calibration segment, institutions should correct the estimates upwards or readjust their estimation in order to reflect their loss experience."
,,,,"162. Where institutions observe extremely high values of realised LGDs much above 100%, especially for exposures with small outstanding amounts at the moment of default, they should identify relevant risk drivers to differentiate these observations and adequately reflect these specific characteristics in the assignment to grades or pool. Where institutions use a continuous rating scale in the LGD estimation, they may create a separate calibration segment for such exposures."
,,,,"163. In order to comply with the requirement of Article 181(1)(a) of Regulation (EU) No 575/2013 to use all observed defaults in LGD quantification, institutions should not exclude any defaults observed in the historical observation period that fall within the scope of application of the LGD model."
,,,,"164. In the analysis of the representativeness of data in accordance with section 4.2.4, institutions should take into account not only the current characteristics of the portfolio but also, where relevant, the changes to the structure of the portfolio that are expected to happen in the foreseeable future due to specific actions or decisions that have already been taken. Adjustments made on the basis of the changes expected in the foreseeable future should not lead to a decrease in the estimates of LGD parameter."
7 Estimation of risk parameters for defaulted exposures,,,,
,7.1 General requirements specific to ELBE and LGD in-default estimation,,,
,,7.1.1 Estimation methodologies for ELBE and LGD in-default,,
,,,,"165. Institutions that have obtained permission to use own estimates of LGD in accordance with Article 143(2) of Regulation (EU) No 575/2013, should assign an ELBE estimate and an LGD in-default estimate to each defaulted exposure within the range of application of the rating system subject to such permission."
,,,,166. Institutions should estimate ELBE and LGD in-default for each of the facility grades of the distinct facility rating scale or for each of the pools that are used within the rating system.
,,,,"167. For the purposes of ELBE and LGD in-default estimation, and unless otherwise specified in this Chapter, institutions should use the same estimation methods used for estimating LGD on non-defaulted exposures, as set out in Chapter 6."
,,,,"168. Institutions should take into consideration all relevant post-default information in their ELBE and LGD in-default estimates in a timely manner, in particular where events from the recovery process invalidate the recovery expectations underlying the most recent estimates."
,,,,"169. Institutions should assess and duly justify situations where the estimates of LGD indefault shortly after the date of default systematically deviate from the LGD estimates immediately before the date of default at the facility grade or pool, where these deviations do not stem from the use of risk drivers that are applicable only from the date of default onwards."
,,,,"170. Institutions should perform back-testing and benchmarking of their ELBE and LGD indefault estimates in accordance with points (b) and (c) respectively, of Article 185 of Regulation (EU) No 575/2013."
,,7.1.2 Reference dates,,
,,,,"171. For the purposes of ELBE and LGD in-default estimation, institutions should set the reference dates to be used for grouping defaulted exposures in accordance with the recovery patterns observed. These reference dates should be used in the estimation of ELBE and LGD indefault instead of the date of default. For the purposes of setting the reference dates  institutions should use information only on closed recovery processes taking into account costs and recoveries only if observed up to the date of estimation."
,,,,"172. Each of the reference dates referred to in paragraph 171 could be any of the following: (a) a specific number of days after the date of default; this option would be appropriate in particular where the estimation refers to a portfolio of exposures showing a stable recovery pattern through time; (b) a relevant date associated with a specific event at which significant breaks in the recovery profile are observed; this option would be appropriate in particular where the estimation refers to a portfolio of exposures that are subject to significant changes of the recovery patterns associated with certain specific events, for instance at the date of realisation of collateral; (c) any combination of the cases referred to in points (a) and (b) that better reflects the recovery patterns; this option would be appropriate in particular where the estimation refers to a portfolio of exposures showing a stable recovery pattern through time but for which breaks in such recovery patterns are observed around certain specific events, for instance at collection, and where the reference dates following those events are defined as a specific number of days after the recovery event, rather than after the date of default; (d) where appropriate, the reference date can have any value between zero and the number of days until the end of the maximum period of the recovery process set by the institution for the type of exposures in question."
,,,,173. For the purposes of ELBE and LGD in-default estimation the same defaulted exposures in the RDS should be used at all relevant reference dates considered in the model.
,,,,174. Institutions should monitor on a regular basis potential changes in the recovery patterns and in the relevant recovery policies which may affect the estimation of ELBE and LGD in-default at each reference date.
,,7.1.3 Data requirements for ELBE and LGD in-default estimation,,
,,,,"175. For the purposes of ELBE and LGD in-default estimation, institutions should use the same"
,,,,"RDS referred to in section 6.1.2, complemented by any relevant information observed during the recovery process and at each reference date, specified in accordance with paragraphs 171 to 174 and, in particular at least the following additional information: (a) all relevant factors that can be used to group defaulted exposures, and all relevant drivers of loss, including those that may become relevant after the date of default and at each reference date; (b) the amount outstanding at each reference date;  (c) the values of any collateral associated with the defaulted credit obligations and their dates of valuation after the date of default."
,7.2 Model development in the estimation of ELBE and LGD in-default,,,
,,,,"176. For the purposes of taking into account the information on the time in-default and recoveries realised so far, in accordance with Article 54(2)(b) of the RTS on IRB assessment methodology institutions may take into account this information either directly as risk drivers or indirectly, for instance by setting the reference date for estimation, as referred to in paragraphs 171 to 174."
,,,,"177. For the purpose of ELBE and LGD in-default estimation, institutions should analyse the potential risk drivers referred to in paragraph 121 not only until the moment of default but also after the date of default and until the date of termination of the recovery process. Institutions should analyse also other potential risk drivers that might become relevant after the date of default, including in particular the expected length of the recovery process and the status of the recovery process. Institutions should use the values of risk drivers as well as the values of collateral adequate to the reference dates specified in accordance with paragraphs 171 to 174."
,7.3 Calibration of ELBE and LGD in-default,,,
,,7.3.1 Calculation of realised LGD and long-run average LGD for defaulted exposures,,
,,,,"178. For the purposes of ELBE and LGD in-default estimation, institutions should calculate the realised LGDs for defaulted exposures, in accordance with section 6.3.1 with the only difference that this should be done with regard to each of the reference dates specified in accordance with paragraphs 171 to 174, rather than the date of default. In the calculation of the realised LGD at a given reference date institutions should include all fees and interest capitalised before the reference date and they should discount all subsequent cash flows and drawings to the reference date."
,,,,"179. Where, after the moment of default, institutions write-off part of the exposure the calculation of the economic loss and the realised LGD should be based on the full amount of the outstanding credit obligation, without taking into account the partial write-off. However, where institutions regularly write-off parts of exposures based on a consistent policy in terms of the time and proportion of the write-off, they may include this information in the calibration of final ELBE and LGD in-default. Where institutions perform write-offs in a less regular manner, they may reflect the information about the partial write-off of a specific exposure in the application of these parameters to this exposure by overriding the output of the rating assignment process in accordance with section 8.2 in order to ensure consistency between the LGD estimation and the application of the LGD estimates."
,,,,"180. For the purposes of ELBE and LGD in-default estimation, institutions should calculate the long run average LGD of the realised LGDs for defaulted exposures, referred to in paragraph 178, following the requirements set out in section 6.3.2 with the only exception that, for each reference date, incomplete recovery processes should be used only if their relevant reference date for the application of the ELBE and LGD in-default parameters is posterior to the reference date under consideration for the estimation."
,,,,"181. In accordance with section 6.3.2.3 institutions should not estimate any future recoveries for exposures that remain in defaulted status for a period of time longer than the maximum length of the recovery process as specified by the institution. However, relevant information regarding specific exposures, in particular information about existing collateral, may be reflected in the application of these parameters by overriding the output of the rating assignment process in accordance with section 8.2."
,,7.3.2 Specific requirements for ELBE estimation,,
,,,,7.3.2.1 Consideration of MoC in ELBE estimation
,,,,182. For the purpose of Article 181(1)(h) of Regulation (EU) No 575/2013 the ELBE should not include any MoC in the sense of section 4.4.3.
,,,,7.3.2.2 Current economic circumstances
,,,,"183. For the purposes of considering current economic circumstances in their ELBE estimates, as required by Article 181(1)(h) of Regulation (EU) No 575/2013, institutions should take into account economic factors, including macroeconomic and credit factors, relevant for the type of exposures under consideration."
,,,,"184. The ELBE should be estimated on the basis of the long-run average LGD, referred to in paragraph 180 and no further adjustments to reflect current economic conditions should be performed where any of the following conditions is met: (a) the model includes directly at least one macroeconomic factor as a risk driver; (b) at least one material risk driver is sensitive to economic conditions; (c) the realised LGD for defaulted exposures, referred to in paragraph 178, is not sensitive to the economic factors relevant for the type of exposures under consideration."
,,,,"185. Where none of the conditions listed in paragraph 184 is met, institutions should adjust the long run average LGD for defaulted exposures to reflect current economic conditions. In this case institutions should document separately the long-run average LGD for defaulted exposures, referred to in paragraph 180, and the adjustment to current economic conditions."
,,,,7.3.2.3 Relation of ELBE to specific credit risk adjustments
,,,,"186. Where the model used for credit risk adjustments satisfies or can be adjusted to satisfy the requirements for own-LGD estimates set out in Part Three, Title II, Chapter 3, Section 6 of Regulation (EU) No 575/2013, institutions may use specific credit risk adjustments as ELBE estimates."
,,,,"187. Where specific credit risk adjustments are assessed individually for a single exposure or a single obligor, institutions may override the ELBE estimates based on specific credit risk adjustments, where they are able to prove that this would improve the accuracy of the ELBE estimates and that the specific credit risk adjustments reflect or are adjusted to the requirements set in section 6.3.1 on the calculation of economic loss."
,,,,"188. For the purposes of justifying situations where the specific credit risk adjustments exceed the ELBE estimates in accordance with Article 54(2)(f) of the RTS on IRB assessment methodology, institutions should ensure consistency of the ELBE estimates with the economic loss components described in section 6.3.1 as well as with the definition of default set out in Article 178 of Regulation (EU) No 575/2013 and analyse any differences in that regard from the definitions and methods used for the purpose of determining specific credit risk adjustments. In particular, institutions should take into account, the possible differences in the discounting rate, the presence of collateral that is not eligible under Article 181(1)(f) of Regulation (EU) No 575/2013, different treatments of costs and the application of different definitions of default."
,,7.3.3 Specific requirements for LGD in-default estimation,,
,,,,"189. For the purpose of considering the possible adverse change in economic conditions during the expected length of the recovery processes referred to in Article 54(2)(a) of the RTS on IRB assessment methodology the LGD in-default should reflect at least downturn conditions, where the estimates of LGD in-default that are appropriate for an economic downturn are more conservative than the long-run average LGD for defaulted exposures, referred to in paragraph 180."
,,,,190. For the purpose of Article 181(1)(h) of Regulation (EU) No 575/2013 the LGD in-default should be increased above the level referred to in paragraph 189 where this is necessary to ensure that the difference between the LGD in-default and the ELBE covers for any increase of loss rate caused by possible additional unexpected losses during the recovery period.
,,,,"191. For the purpose of ensuring that the LGD in-default is higher than the ELBE, or is in exceptional cases equal to the ELBE for individual exposures, in accordance with Article 54(2)(d) of the RTS on IRB assessment methodology institutions should analyse and correct the LGD in-default in those situations where the ELBE was obtained using specific credit risk adjustments, in accordance with paragraph 186, and is above the LGD in-default obtained  through direct estimation in accordance with Article 54(1)(a) of the RTS on IRB assessment methodology."
,,,,192. To the extent that the reasons for overriding the outputs of ELBE estimation are relevant also to LGD in-default a consistent override should also be applied to the assignment of LGD in-default in such a way that the add-on to the ELBE covers for any increase of loss rate caused by possible additional unexpected losses during the recovery period in accordance with Article 181(1)(h) of Regulation (EU) No 575/2013.
,,,,"193. Irrespective of which of the two approaches referred to in points (a) and (b) of Article 54(1)(a) of the RTS on IRB assessment methodology is used for the purposes of estimating LGD in-default institutions should document separately all of the following: (a) the break-down of the LGD in-default into its components: the ELBE and the add-on; (b) the break-down of the add-on into all of the following components: (i) the downturn conditions component calibrated on the downturn adjustment to the long-run average LGD as specified in paragraph 189; (ii) the MoC component, referred to in section 4.4; (iii) any component covering for potential additional unexpected losses during the recovery period referred to in Article 181 (1)(h) of Regulation (EU) No 575/2013; this component should only be included in exceptional circumstances where the potential additional losses are not sufficiently reflected in the components referred to in points (i) and (ii)."
8 Application of risk parameters,,,,
,,,,"194. In the application of the PD or LGD model and where institutions receive new information with respect to a relevant risk driver or rating criterion, they should take this information into account in the rating assignment in a timely manner, in particular by ensuring both of the following: (a) that the relevant IT systems are updated as soon as possible and that the corresponding rating and PD or LGD assignment is reviewed as soon as possible; (b) where the new information relates to the default of an obligor, that the PD of the obligor is set to 1 in all relevant IT systems in a timely manner and in accordance with paragraph 108 of the Guidelines on the application of the definition of default under Article 178 of Regulation (EU) No 575/2013."
,8.1 Conservatism in the application of risk parameters,,,
,,,,"195. For the purpose of Article 171(2) of Regulation (EU) No 575/2013 institutions should apply additional conservatism to the outcomes of the rating assignment where any deficiencies are identified related to the implementation of the model in the IT system or to the process of assignment of risk parameters to obligors or facilities in the current portfolio (application of risk parameters), especially when those deficiencies relate to data used in the rating assignment process. They should do so by establishing a framework that consists of the following phases: (a) identification of deficiencies of implementation of the model in the IT system or application of risk parameters; (b) specification of the form of conservatism to be applied and quantification of the appropriate level of conservatism; (c) monitoring of the deficiencies and correcting them; (d) documentation."
,,,,"196. For the purpose of paragraph 195(a) institutions should have a robust process for identifying all implementation and application deficiencies in the assignment process, whereby each deficiency leads to additional conservative treatment in the affected assignment to a grade or pool. Institutions should consider at least the following triggers for additional conservatism: (a) missing data in the application portfolio;  (b) missing updates of financial statements or credit bureau data as referred to in paragraph 59(h); (c) outdated ratings in the application portfolio; where outdated rating should be understood as specified in Article 25(2)(b) of the RTS on IRB methodology; (d) missing ratings, whereby an exposure is considered as being within the scope of application of the IRB model but is not rated by it."
,,,,"197. For the purpose of paragraph 195(b) institutions should ensure that the occurrence of any of the triggers referred to in paragraph 196 results in the application of additional conservatism to the risk parameter for the purpose of the calculation of risk-weighted exposure amounts. Where more than one trigger occurs, the estimate should be more conservative. The additional conservatism related to each trigger should be proportionate to the uncertainty in the estimated risk parameter introduced by the trigger."
,,,,198. Institutions should consider the overall impact of the identified deficiencies and the resulting conservatism at the level of portfolio covered with the relevant model on the soundness of the assignments to grades or pools and ensure that the own funds requirements are not distorted by the necessity of excessive adjustments.
,,,,"199. For the purpose of paragraph 195(c) institutions should regularly monitor the implementation and application deficiencies and the levels of additional conservatism applied in relation to them. Whenever possible, institutions should take steps to address the identified deficiencies. Following its assessment, the institution should develop a plan to rectify the deficiencies within a reasonable timeframe, taking into consideration the magnitude of the impact on the own funds requirements."
,,,,"200. For the purpose of paragraph 195(d) institutions should specify adequate manuals and procedure for applying additional conservatism and should document the process applied in addressing implementation and application deficiencies. Such documentation should contain at least the triggers considered and the effects that the activation of such triggers had on the final assignment to a grade or pool, the level of risk parameter and on the own funds requirements."
,8.2 Human judgement in the application of risk parameters,,,
,,,,201. Institutions may use human judgement in the application of the model in the following cases: (a) in the application of the qualitative variables used within the model; (b) via overrides of the inputs of the rating assignment process; (c) via overrides of the outputs of the rating assignment process.
,,,,202. Institutions should specify clear criteria for the use of qualitative model inputs and they should ensure a consistent application of such inputs by all relevant personnel and a consistent assignment of obligors or facilities posing similar risk to the same grade or pool as required by Article 171(1)(a) of Regulation (EU) No 575/2013.
,,,,"203. For the purpose of Article 172(3) of Regulation (EU) No 575/2013 institutions should specify the policies and criteria for the use of overrides in the rating assignment process. These policies should refer both to possible overrides of inputs and outputs of such process and should be specified in a conservative manner such that the scale of conservative overrides should not be limited. In contrast, the scale of potential decreases of the estimates resulting from the model, either by overriding the inputs or outputs of the rating assignment process, should be limited. In applying the overrides institutions should take into account all relevant and up-to-date information."
,,,,204. Institutions should document the scale and rationale of each override. Wherever possible institutions should specify a predefined list of possible justifications of the overrides to choose from. Institutions should also store information on the date of override and the person that performed and approved it.
,,,,"205. Institutions should regularly monitor the level and justifications for overrides of inputs and outputs of the rating assignment process. They should specify in their policies the maximum acceptable rate of overrides for each model. Where those maximum levels are breached, adequate measures should be taken by the institution. The rates of overrides should be specified and monitored at the level of calibration segment. Where there is a high number of overrides institutions should adopt adequate measures to improve the model."
,,,,206. Institutions should regularly analyse the performance of exposures in relation to which an override of input or output of the rating assignment process has been performed in accordance with Article 172(3) of Regulation (EU) No 575/2013.
,,,,"207. Institutions should regularly assess the performance of the model before and after the overrides of outputs of the rating assignment process. Where the assessment concludes that the use of overrides significantly decreased the model's capacity to accurately quantify the risk parameters ('predictive power of the model'), institutions should adopt adequate measures to ensure the correct application of overrides."
,8.3 Use of internal ratings and default and loss estimates,,,
,,,,"208. In accordance with Article 144(1)(b) of Regulation (EU) No 575/2013 and Articles 18 to 21 of the RTS on IRB assessment methodology institutions should use the same estimates of risk parameters for the purpose of own funds requirements calculation and for internal purposes, including risk management and decision-making processes, unless all of the following conditions are met: (a) the deviation is justified and appropriate for the specific area of use; (b) the deviation does not lead to a change in rank ordering in the assignment of obligors or facilities to grades and pools within a calibration segment other than within each grade or pool; (c) the deviation is due to the use of parameters for internal purposes without consideration of the MoC, without regulatory floors, without downturn adjustment in the case of LGD estimates or is due to the use of a different calibration method, which may entail specifying different calibration segments."
,,,,209. For the purpose of paragraph 208 it may also be considered adequate to group continuous risk parameter estimates into homogenous ranks for internal purposes.
,,,,210. Where institutions use for internal purposes estimates of risk parameters that are different from those used in the calculation of own funds requirements they should periodically reflect this in their internal reporting to senior management by providing information on both sets of parameters. In any case internal reporting should include all elements specified in Article 189(3) of Regulation (EU) No 575/2013 based on the estimates of risk parameters used for the purpose of calculation of own funds requirements.
,8.4 Calculation of IRB shortfall or excess,,,
,,,,"211. For the purpose of this chapter the difference between, on the one hand, general and specific credit risk adjustments, additional value adjustments and other own funds reductions relating to these exposures and, on the other hand, expected loss amount in accordance with Article 159 of Regulation (EU) No 575/2013 should be considered IRB shortfall, if negative, and IRB excess, if positive."
,,,,"212. Where the calculation for the overall non-defaulted portfolio referred to in Article 159 of Regulation (EU) No 575/2013 results in an IRB excess, institutions may use this IRB excess to cover for any IRB shortfall from the calculation carried out in accordance with that Article for the overall defaulted portfolio."
,,,,"213. For the purposes of adding any IRB excess to Tier 2 in accordance with Article 62 (d) of Regulation (EU) No 575/2013, where the calculation referred to in Article 159 of Regulation (EU) No 575/2013 results in an IRB excess for both the defaulted and the non-defaulted portfolio, the sum of those two IRB excesses should be considered and added to Tier 2 in accordance with the limit referred to in Article 62(d) of Regulation (EU) No 575/2013."
,,,,214. For the purposes of Article 159 of Regulation (EU) No 575/2013 institutions should not include partial write-offs in the calculation of general and specific credit risk adjustments.
