Topic,Chapter,Section,Subsection,Article,Content
,,,,114,"In specific cases where institutions have taken possession of but not yet sold the collateral, there is a risk that the value of repossession might not adequately reflect the value of the repossessed collateral. To mitigate this risk, institutions should estimate haircuts to the value of the collateral under paragraphs 116 to 118 of the EBA GL on PD and LGD. In order to ensure transparency regarding the impact from the treatment of repossessed collateral, institutions should: (a) compare the estimated haircuts with the available observations regarding the repossession and subsequent sale of similar types of collateral; (b) assess the impact on the LRA LGD of the inclusion of the repossessed collateral by performing sensitivity analyses based on the application of different haircuts to the value of the collateral (at least, by applying a haircut of 100% to cases where collateral has been repossessed but not yet sold)."
,,,5.3.5 Long-run average,,
,,,,115,"To comply with the requirement of obtaining an LRA LGD by facility grade or pool in accordance with Article 181(1)(a) of the CRR, institutions should estimate LGDs under paragraphs 100 and 149 to 164 of the EBA GL on PD and LGD. When performing this estimation, institutions should follow the observations below."
,,,,116,"Under paragraph 150 of the EBA GL on PD and LGD, institutions should calculate the LRA LGD as an arithmetic average of realised LGDs over a historical observation period weighted by a number of defaults. When performing this calculation, institutions should observe the following points. (a) In the event of definition of default applied at obligor level, where two facilities of the same obligor are assigned to the same facility grade or pool, institutions are expected to calculate the average realised LGD as follows: first take the exposure-weighted average realised LGD at the obligor level and then take the arithmetic average LGD weighted by the number of defaulted obligors within the LGD grade. If institutions use a different approach, they should demonstrate that there are no systematic deviations from the approach referred to above. (b) Under paragraph 160 of the EBA GL on PD and LGD, the realised LGD of each observation should be floored at zero for the purpose of LGD estimation. In cases where LGD estimates for specific facility grades or pools are low or even zero (in exceptional cases), in order to ensure that these estimates are accurate and not driven by (systematic) errors or distortions institutions should ensure that their estimation process is accurate. In particular, they should ensure that there is a sufficient number of observations supporting the estimate and that these outcomes are carefully monitored and scrutinised. (c) Under paragraph 162 of the EBA GL on PD and LGD, institutions should apply an appropriate treatment to extremely high values of realised LGDs much above 100%, at the level of data quality, risk drivers, assignment to grades or pools or assignment to calibration segments. To ensure that the estimates are accurate, institutions are not expected to cap realised LGD values (i.e. to replace the observed value by a pre-defined value when the observed value is above the pre-defined one)."
,,,,117,"Institutions can calibrate LGD estimates to the LRA LGD calculated at the level of the calibration segment under paragraph 161(b) of the EBA GL on PD and LGD. When calibration segments are used for the purpose of LGD estimations, institutions are expected to base their decision on a sound rationale, in particular on quantitative evidence. It is the ECB's understanding that, to comply with Article 181(1)(a) of the CRR, institutions should also calculate the LRA LGD at a more granular level than the calibration segment (i.e. individual LGD grades or pools if estimation is discrete or ranges of LGD values if the estimation is continuous). The level should be appropriate for the application of the model. In addition, institutions should ensure that there are no systematic deviations when comparing the estimated LGDs with the LRA of realised LGDs at this more granular level, i.e. the direction of divergences should be random."
,,,,118,"Where the LGD is the result of a combination of different components (for example, secured and unsecured components), the calibration step according to paragraph 117 (ensuring that the average realised LGD and the average estimated LGD across facilities within the same calibration segment/range of LGD values are aligned) is expected to be performed after the aggregation of the components. In addition, there is a risk that systematic deviations could be introduced to the estimation when combining these different components. In this case, the direction of divergences would not be random. To mitigate this risk, institutions should do the following. (a) For defaults in the RDS which are closed or considered closed, compare the realised LGD at facility level with the estimates of LGD. Separate tests should be performed for the LGD applied to the performing portfolio and the LGD in-default. Analogous tests should be performed at component level. (b) In the case of models based on components with underlying data covering time windows with different lengths and/or periods for each of the components, ensure that no bias is introduced in the LGD estimates at facility level with respect to the LRA. The analysis referred to in point (a) should be performed, at least, for the available common time period."
,,,,119,"Notwithstanding paragraph 116, for retail exposures institutions need not give equal importance to historical data if more recent data are a better predictor of loss rates. It is the ECB's understanding that an institution may consider the more recent data to be a better predictor of loss rates and may give more importance to recent historical data if its methodology is in line with paragraphs 150 to 152 of the EBA GL on PD and LGD and if the following apply. (a) There is a significant improvement in predictive power when using the more recent data with respect to the predictive power resulting from the use of an arithmetic average under paragraph 150 of the EBA GL on PD and LGD. This improvement would be evidenced by comparing the estimated LGDs for each grade with the average realised LGD covering as long a period as possible in accordance with Article 185(b) of the CRR. (b) The oldest data are considered as non-representative as a result of specific policy or business changes in the bank, but not in order to reflect current trends in loss rates directly related to macroeconomic conditions. (c) The weighting approach is used in a consistent manner over time and any change in the applied weights of historical data is appropriately justified."
,,,,120,"In accordance with Article 179(1)(a) of the CRR, an institution's own estimates must incorporate all relevant data and must be derived using both historical experience and empirical evidence. To comply with these requirements, when institutions use external or pooled data to complement their own loss or recovery experience, they should ensure that LRA LGDs derived from external or pooled data are also calculated separately from those based on internal data. In addition, the direction and magnitude of the differences between these averages should be properly analysed and documented when calibrating the model, including the adequacy of the MoC considered, and duly followed up in the review of estimates."
,,,,121,"Article 179(1)(d) of the CRR requires, among other things, that the population of exposures represented in the data used for estimation, the lending standards used when the data were generated and other relevant characteristics must be comparable with those of the institution's exposures and standards. Paragraph 164 of the EBA GL on PD and LGD further specifies that institutions should take into account not only the current characteristics of the portfolio but also, where relevant, any changes to the structure of the portfolio that are expected to happen in the foreseeable future. When institutions perform adjustments to their LGD estimates in order to comply with these requirements, it is the ECB's understanding that the following principles should apply. (a) The adjustment should be based on a comparison of the data used in risk quantification with the institution's application portfolio. In many circumstances (for example where a type of product has been discontinued by the institution), the addition of these characteristics as risk drivers for LGD estimation is the most simple and effective way of dealing with issues of non-representativeness. (b) In the event of changes in lending or recovery policies, institutions should make only conservative adjustments until they are able to provide empirical evidence concerning the impact of the new policies. Such evidence should be based on the inclusion in the RDS of data from periods more recent than the change of policy. (c) All economic and market conditions experienced in the past and reflected in historical observations should be considered by institutions as part of foreseeable economic and market conditions (paragraph 147 of the EBA GL on PD and LGD). They are not, therefore, a reason to perform adjustments."
,,,5.3.6 Downturn LGD,,
,,,,122,"To obtain LGD estimates that are appropriate for an economic downturn in accordance with Article 181(1)(b) of the CRR, institutions are expected to: (a) characterise an economic downturn in accordance with the Final Draft RTS on the specification of the nature, severity and duration of an economic downturn; (b) derive LGD estimates which are appropriate for the downturn conditions specified, in accordance with the EBA Guidelines for the estimation of LGD appropriate for an economic downturn (""Downturn LGD estimation"")."
,,5.4 Estimation of ELBE and LGD in-default,,,
,,,5.4.1 Relevant regulatory references,,
,,,,123,"In accordance with Article 181(1)(h) of the CRR, for the specific case of exposures already in default institutions must use the sum of their ELBE for each exposure, given current economic circumstances and exposure status and their estimate of the increased loss rate caused by possible additional unexpected losses during the recovery period. To comply with these requirements, institutions should estimate ELBE and LGD in-default under paragraphs 165 to 193 of the EBA GL on PD and LGD. In this process, institutions should follow the observations below."
,,,,124,"In accordance with Article 181(1)(h) of the CRR, the ELBE must represent the best estimate of expected loss given current economic circumstances and exposure status. To comply with this requirement, it is the ECB's understanding that institutions should take into consideration the economic conditions expected over the period of the recovery process, and in particular reflect downturn conditions in the ELBE, if and only if current economic conditions are in a downturn or a downturn is expected over the period of the recovery process. This can be done either by adding the relevant macroeconomic and economic factors as drivers of the ELBE model under paragraph 183 of the EBA GL on PD and LGD, or alternatively through an adjustment to the LRA as referred to in paragraph 184 of the EBA GL on PD and LGD."
,,,,125,"Under paragraph 193 of the EBA GL on PD and LGD, LGD in-default can be estimated directly or as the sum of ELBE and an add-on capturing the unexpected loss related to the exposures in default that may occur during the recovery period. In particular, the following should be taken into consideration. (a) The use of a constant value for unexpected losses for all defaulted exposures is not risk sensitive. In the ECB's understanding, therefore, it does not allow an accurate assessment of risk. Where an institution does use a constant value, it should justify this. It should demonstrate that the constant value in question is an adequate estimate of all the components of unexpected loss envisaged in paragraph 193(b) of the EBA GL on PD and LGD during the remaining recovery period, i.e. between the date for which estimates are being applied and the final closure of the recovery process. This analysis should be performed at least for every calibration segment. (b) LGD in-default estimates are generally expected to be higher than ELBE estimates and only equal for duly justified individual exposures, which are expected to be very limited."
,6 Conversion factors,,,,
,,"6.1 Commitments, unadvised limits and scope of application",,,
,,,6.1.1 Relevant regulatory references,,
,,,,126,"In accordance with Article 151(7) and (8) of the CRR, institutions must use own estimates of CCFs for the retail exposure class. If they have received permission to use own estimates for the corporate, institutional, central government and central bank exposure classes, they must again use own estimates of CCFs, instead of the conversion factors set out in in Article 166(8)(a) to (d) of the CRR. In both cases (retail and non-retail exposure classes), the scope of CCF modelling is, in the ECB's understanding, limited to the off-balance sheet items referred to in Article 166(8) of the CRR. The treatment of off-balance-sheet items other than those mentioned in Article 166(1) to (8) of the CRR is specified in Article 166(10). In accordance with Article 166(10) of the CRR, an exposure value must be a specific percentage of an off-balance-sheet item's value, based on the classification of off-balance-sheet items established in Annex I of the CRR."
,,,,127,"Conversion factor means the ratio of the currently undrawn amount of a commitment that could be drawn and that would therefore be outstanding at default to the currently undrawn amount of the commitment. The extent of the commitment is determined by the advised limit, unless the unadvised limit is higher. The exposure value for the items listed in Article 166(8) of the CRR must be calculated as the committed but undrawn amount multiplied by a CCF. To calculate the exposure value as required by Article 166(8) of the CRR, institutions should adopt the following approach. (a) Treat a facility as an exposure from the earliest date at which the facility is recorded in the institution's systems in a way that would allow the obligor to make a drawing. An unadvised limit is any credit limit defined by the institution (i) that is above the limit the obligor has been informed of by the institution; and (ii) according to which additional drawings are possible, at least temporarily. This higher (unadvised) credit limit may be disregarded if its availability is subject to a further credit assessment by the institution, as long as this additional assessment includes a re-rating or a confirmation of the rating of the obligor. (b) Consider as ""commitment"" any contractual arrangement that has been offered by the institution and accepted by the obligor to extend credit, purchase assets or issue credit substitutes. (c) Consider as ""conditionally cancellable commitment"" any such arrangement that can be and will be cancelled by the institution if the obligor fails to meet conditions set out in the facility documentation, including conditions that must be met by the obligor prior to any initial or subsequent drawdown under the arrangement. (d) Consider as ""credit lines"" all lines including products such as facilities granted for construction where the payments to the obligor are made according to the progress of the construction. Products such as guarantees are not, however, included in the concept of credit lines."
,,,,128,"For institutions not using own estimates of CCFs for exposures to corporates, institutions, central governments and central banks, Article 166(8) of the CRR defines the CCFs to be used for the purpose of calculating RWEA. In accordance with Article 166(8)(a) and (c) of the CRR, institutions not using their own estimates of CCFs for non-retail exposures are permitted to apply a 0% CCF, under certain conditions. It is the ECB's understanding that, to comply with the conditions established under Article 166(8)(a) and (c) of the CRR and to apply a 0% CCF, institutions should have in place internal control systems that allow them to monitor the obligor's financial condition and to act in the event that a deterioration in the obligor's credit quality is detected. They should also be able to provide evidence that the internal control systems work effectively. For this purpose, institutions should demonstrate that there is only a very limited number of exposures of a particular type observed during the previous year for which the EAD is higher than the drawn amount at the reference date. This analysis should be performed on a regular basis. The ECB considers it good practice when institutions perform this analysis on an annual basis."
,,6.2 Realised CCFs,,,
,,,6.2.1 Relevant regulatory references,,
,,,,129,"To ensure that a consistent and accurate approach is adopted to calculate the realised CCFs, institutions should have in place sufficiently detailed policies and procedures. For institutions to comply with the data-related requirements set out in Article 176(4) of the CRR, their RDS: (a) should not be capped at the principal amount outstanding or at facility limits; (b) should include all credit obligations (paragraph 16 of the EBA Guidelines on the definition of default), especially accrued interest, other due payments (e.g. fees) and limit excesses."
,,,,130,"In accordance with Article 182(1)(a) of the CRR, institutions must calculate the realised CCF at facility level for each default. In cases where realised LGD is calculated at a more aggregated level than single facility level, as described in paragraph 99 above, CCF estimation can be performed at facility level or at the LGD aggregation level. One such example is where CCF is estimated by facility while several facilities are aggregated for LGD purposes, since they are all secured by the same collateral. In this case, institutions should: (a) for retail exposures where they use the definition of default at facility level in accordance with the last paragraph of Article 178(1) of the CRR, apply full contagion of default across aggregated facilities; (b) ensure consistency between estimation and application of the parameters; (c) ensure that no bias results from the aggregation of facilities by validation of the estimates (PD, LGD, CCF) also at the more aggregated level."
,,,,131,"For the purposes of Article 182(1)(a) of the CRR, institutions must compute realised CCF. To comply with this requirement, in the understanding of the ECB institutions should adopt the following approach. (a) Calculate realised CCF as the ratio of the difference between the EAD and the exposure at the reference date in the numerator, and the difference between the limit at reference date and the exposure at reference date (i.e. the amount available to be drawn at the reference date) in the denominator. This does not mean that, to address the issues with the ""region of instability"", institutions may not use direct EAD realisation (as referred to in paragraph 137(a) of this chapter). (b) Ensure that the definition of exposure is identical to the one used for LGD estimation. In particular, treatment of post-default drawings should be identical for the exposures used in both the LGD and CCF estimations. Discounted additional drawings are expected to be included in CCF when they are included in the LGD denominator. See also paragraph 100(a) above. (c) For each reference date and in cases where the same facility defaults more than once during the observation period, consider as the date of default relevant for CCF purposes the date of the first default."
,,6.3 CCF structure,,,
,,,6.3.1 Relevant regulatory references,,
,,,,132,"To comply with the requirements for the structure of the CCF models established in Article 170 of the CRR, and particularly when considering the risk drivers envisaged by paragraph (4) of that Article, institutions should follow these principles: (a) Demonstrate a detailed understanding of the impact on the CCF model of changes in customer product mix or characteristics that take place between reference and default dates and the materiality of that impact. If the impact is material, institutions should address it within their own estimation process. This is because changes in exposure characteristics (e.g. a change in the value of the limit) or ""product profile transformations"" (e.g. a revolving loan that has been converted into a term loan or vice versa) which commonly occur between reference and default dates can impact the CCF model. (b) Although the reference date for the calculation of realised CCF should be up to 12 months prior to default, institutions should analyse risk drivers considering information not only at the reference date but also before that date whenever relevant. In assessing whether the use of information from before the reference date is relevant, institutions should take into account the volatility of the risk driver over time. (c) Ensure that the models reflect the institution's current policies and strategies regarding account monitoring, including limit monitoring, and payment processing."
,,6.4 CCF risk quantification,,,
,,,6.4.1 Relevant regulatory references,,
,,,,133,"The exposure value for undrawn commitments is calculated as the committed but undrawn amount multiplied by a CCF. CCFs can also be derived from direct estimates (for example by modelling total facility EAD) in accordance with Article 169(3) of the CRR. In this case, and in order to comply with Article 182(1)(a) of the CRR, it is the ECB's understanding that institutions should also calculate the LRA CCF at a level more granular than calibration segment that is appropriate for the application of the model, namely using individual CCF values if estimation is discrete or sub-ranges of CCF values if estimation is continuous. In addition, institutions should ensure that there are no systematic deviations when comparing the estimated CCFs with the LRA realised CCFs in sub-ranges. In other words, the direction of divergences should be random."
,,,,134,"In accordance with Article 182(1)(a) of the CRR, institutions are required to calculate the default weighted LRA CCF separately for each facility grade or pool. To comply with this requirement, institutions should adopt the following approach. 59 (a) Ensure that the historical observation period is as broad as possible and contains data from different periods characterised by different economic circumstances, including bad years as reflected in economic indicators that are relevant for the type of exposures considered. (b) Calculate the observed average CCF for each facility grade or pool on all defaults observed in the historical observation period. Institutions should apply an appropriate treatment to extremely high values of realised CCF much above 100%, at the level of data quality, risk drivers, assignment to grades or pools or assignment to calibration segments. To ensure that the estimates are accurate, it is the ECB's understanding that institutions are not expected to cap realised CCF values. In other words, they are not expected to replace the observed value by a pre-defined value when the observed value is above the pre-defined one. (c) When the historical observation period is considered to be representative of the LRA, the average realised CCFs should be computed as the arithmetic average of the yearly averages of realised CCFs in that period. (d) When the historical observation period is not considered to be representative of the LRA: (e) (i) if bad years are under-represented in the historical observation period, the observed average CCF should be adjusted upwards in order to estimate an LRA CCF; (ii) if bad years are over-represented in the historical observation period, the observed average CCF may be adjusted to estimate an LRA CCF where there is a significant correlation between the economic indicators referred to in paragraph 122(a) and the available observed CCF. It is the ECB's understanding that, where CCF estimates for specific facility grades or pools are low or even zero (in exceptional cases) before the MoC is applied, and in order to ensure that these estimates are accurate and not driven by (systematic) errors or distortions, institutions should ensure that their estimation process is pertinent and accurate. In particular, they should ensure that, in these specific facility grades or pools, there is only a very limited number of exposures for which the exposure at the moment of default is higher than the drawn amount at the reference date, and that these outcomes are carefully monitored and scrutinised."
,,,,135,"Notwithstanding paragraph 134, for retail exposures an institution need not give equal importance to historical data if more recent data are a better predictor of drawdowns. In the ECB's understanding, an institution may consider that the more recent data are a better predictor of drawdowns and may give more importance to recent historical data if the following apply. (a) There is a significant improvement in predictive power when using the more recent data compared with the predictive power resulting from the use of an arithmetic average. This improvement can be evidenced by comparing the estimated CCFs for each grade with the average realised CCF covering as long a period as possible, as set out in Article 185(b) of the CRR. (b) The oldest data are considered as non-representative as a result of specific policy or business changes in the bank, but not in order to reflect current trends in realised CCFs directly related to macroeconomic conditions. (c) The weighting approach is used in a consistent manner over time and any change in the applied weights of historical data is appropriately justified."
,,,,136,"To comply with the requirements of Article 182(1)(b) and to have CCF estimates that are appropriate for an economic downturn, institutions should characterise an economic downturn in accordance with the Final Draft RTS on the specification of the nature, severity and duration of an economic downturn. To this end, an impact assessment should be performed to identify which identified downturn period is most strongly evidenced by elevated levels of realised CCFs. Any lag between the downturn period and the date of the impact on the realised CCFs should be taken into account. This means that where high levels of realised CCFs are not experienced simultaneously with the downturn periods, but nevertheless result from it, these high CCFs should be considered as the CCFs appropriate for the economic downturn."
,,,,137,"In order to ensure a meaningful assessment of transaction characteristics, as required by Article 144(1)(a) of the CRR, particular attention should be given to the following observations. (a) A common issue in estimating CCFs concerns facilities close to being fully drawn at the relevant reference date, as a result of the instability that may be observed in the estimates (also known as ""region of instability""). To mitigate this risk, institutions should ensure that their CCF model is robust and provides estimates that are effectively protected against undesirable issues caused by the ""region of instability"" and/or that their estimates are adjusted adequately. (b) Article 182 of the CRR lays down the requirements for CCF estimates. In cases where institutions apply a fixed yet conservatively specified CCF (e.g. 100%), the ECB considers them to be compliant with the requirements when these estimates are applied in specific circumstances, such as scarcity of data and low materiality of the scope of application, for example in the event that the facility has no on-balance exposure until the first disbursement and estimates are monitored and validated."
,7 Model-related MoC,,,,
,,7.1 Relevant regulatory references,,,
,,,,138,"Institutions must add to their estimates an MoC that is related to the expected range of estimation errors. To comply with this requirement, institutions are expected to follow paragraphs 36 to 52 of the EBA GL on PD and LGD."
,,,,139,"Since the MoC requirements laid down by the CRR also apply in cases where institutions estimate CCFs, paragraph 138 is also relevant in such cases."
,,,,140,"In the understanding of the ECB, to reflect the dispersion of the statistical estimators as set out in paragraph 43(b) of the EBA GL on PD and LGD, institutions should adopt the following approach. (a) For PD, estimate an MoC to account for statistical uncertainty/sampling error affecting the LRA estimate at grade/pool level. This MoC should be based on the distribution of the estimator, which is the average of one-year default rates of the grade/pool across time (i.e. the distribution of (sum DR t )/T, considering that the uncertainty is primarily driven by the statistical uncertainty of each one-year default rate and the length of the time series. As a result, it is expected that the lower the number of observations per grade and the shorter the time series are, the higher the MoC of the grade should be. Institutions need to be aware of and deal adequately with the dependency between default rates over time on the quantification of the MoC, e.g. when using overlapping windows for the calculation of default rates. The above principles also apply for institutions using direct PD estimates and for institutions calibrating the LRA default rate at the level of the calibration segment, as referred to in paragraph 92(b) of the EBA GL on PD and LGD. When using direct PD estimates, the MoC is based on the distribution of this direct PD estimator (which includes the risk differentiation function), implicitly reflecting the uncertainty of the LRA. When calibration is performed at calibration segment level, the general estimation error may be computed at that level when the statistical uncertainty/sampling error is not significantly different across grades or PD sub-ranges. (b) Similarly, for LGD and CCF, estimate an MoC to account for statistical uncertainty/sampling error affecting the final estimates. This MoC should be defined on the basis of the distribution of the estimators, considering that their uncertainty is primarily driven by the statistical uncertainty of the observations used to compute the long-run and downturn estimates and the length of the time series."
,8 Review of estimates,,,,
,,8.1 Relevant regulatory references,,,
,,,,141,"Institutions must review their estimates whenever new information comes to light but at least on an annual basis. To comply with this requirement, they are expected to have in place a framework under paragraphs 217 to 221 of the EBA GL on PD and LGD."
,,,,142,"Since the review of estimates requirements under the CRR also apply in cases where an institution estimates CCFs, paragraph 141 is also relevant to such cases."
,,,,143,"In the ECB's understanding and for the purposes of paragraph 141, the following principles apply. (a) For PD models and regarding the analysis of the predictive power envisaged by paragraph 218(c) of the EBA GL on PD and LGD: (i) the analysis should be performed at grade level; for institutions using direct PD estimates, it should be performed at a sufficient level of granularity; (ii) institutions should use a range of metrics to assess predictive ability, including statistical tests and graphical analysis of the evolution of default rates and PD. (b) The analysis referred to in paragraph 218(c)(i) of the EBA GL on PD and LGD should also consider, for CCFs, whether including the most recent data leads to a significant change in the LRA CCF or downturn CCF. (c) For LGD models that result from a combination of different components (for example, secured and unsecured components), the back-testing analysis referred to in paragraph 218(c)(ii) of the EBA GL on PD and LGD should be run at both component and facility level. (d) In addition, institutions should consider in their frameworks for the review of estimates the availability of data for different exposure types, taking into account the specificities of the model architecture, including the existing and potential risk drivers, under paragraph 220 of the EBA GL on PD and LGD. When data are scarce, they should use complementary analyses for those exposure types where quantitative measures prove inconclusive as a result, for example, of the low number of exposures available. (e) Where internal data are not considered sufficient to establish fixed targets and tolerances for defined metrics and tools to assess the performance of the PD model in terms of risk differentiation, institutions should define and put in place the appropriate actions to address this. These actions could encompass, for example, the use of complementary analyses for those cases where the results for the application of metrics and tools are proven to be inconclusive. (f) When external credit bureau scores or ratings are used as the main (or one of the main) driver(s) of the internal rating, in cases where significant changes are applied to the credit bureau scoring institutions should consider the possibility of adjusting their internal data following the changes applied to the score, and whenever the input variables are no longer considered appropriate in their credit rating process."
,,,,144,"In the case of material models where the assignment of the grade is based on a statistical model and where there is a risk that slight changes in the ranking of the obligors, or in the boundaries between grades, could lead to significant changes in the RWEA in that portfolio, the framework referred to in paragraph 141 should also include an analysis of whether the inclusion of the most recent data in the RDS used for model development would lead to materially different model outcomes. This analysis should be conducted on a three-yearly basis, or more often, depending on the materiality of the model. The analysis should consider, in particular, whether the discriminatory power of the PD, LGD or CCF models would be materially increased when re-estimating the model parameters on the basis of the updated RDS. Portfolios should be considered as falling into this category when, for example: (i) a limited number of obligors represent an important share of the total exposure; or (ii) exposures are concentrated near the boundaries between two grades."
,,,,145,"When the number of default observations is low, to analyse whether the main drivers of the observed defaults are appropriately reflected in the model in accordance with Article 179(1)(a) of the CRR institutions should analyse individual defaults (or at least a sample of them where the number of defaults makes analysing all of them unduly burdensome). However, the model should not be adapted simply to fit singular events from the institution's file review."
,,,,146,"In accordance with Article 172(3) of the CRR, for grade and pool assignments institutions must document those situations in which human judgement may override the inputs or outputs of the assignment process. In addition, institutions must complement the statistical model by human judgement and human oversight to review model-based assignments and ensure that the models are used appropriately. Furthermore, review procedures must be designed to find and limit errors associated with model weaknesses. To comply with these requirements, institutions should assess the impact of the application of human judgement on risk differentiation capability (e.g. on discriminatory power), under paragraph 218(b) of the EBA GL on PD and LGD."
,9 Calculation of maturity for non-retail exposures,,,,
,,9.1 Relevant regulatory references,,,
,,,,147,"For the cases described in Article 162(2)(f) of the CRR, the maturity parameter (M) must be the maximum remaining time (in years) that the obligor is permitted to take to fully discharge its contractual obligations. In the ECB's understanding, M should be calculated using the expiry date of a facility. The repayment date of a current drawn amount should not be used."
,,,,148,"To ensure that the calculation of the maturity parameter is correct and to avoid any possible errors, for the purposes of Article 162(3) of the CRR institutions should adequately justify and document any exemptions from the one-year maturity floor."
