Chapter,Section,Article,Paragraph
,,,(c) where the institution applies the definition of default at the level of the individual facility:
,,,"(i) there are adequate procedures and mechanisms in place to ensure that once a credit facility is identified as being in default, that credit facility is marked as being in default across all relevant systems within the institution;"
,,,"(ii) where there is a time delay with regard to the assignment of the defaulted status of a facility across all relevant systems as referred to in point (i), that time delay does not lead to errors or inconsistencies in risk management, risk reporting, the calculation of own funds requirements or the use of data in risk quantification."
,,Article 29 Return to non-defaulted status,
,,,"4. In assessing the robustness of the trigger events and process of reclassification of a defaulted obligor to a non-defaulted status as referred to in Article 26(1)(c), competent authorities shall verify in particular that:"
,,,(a) the trigger events for reclassification are determined for each trigger of default and that the treatment of credit obligations subject to distressed restructuring is specified;
,,,(b) reclassification is possible only after no trigger of default continues to apply and all relevant conditions for reclassification are met;
,,,"(c) the trigger events and process of reclassification are prudent, in particular that reclassification to a non-defaulted status is not performed where the institution expects that the credit obligation will probably not be paid in full without recourse by the institution to actions such as realising security."
,,,"5. For the purpose of paragraph 1, competent authorities shall verify that the institution's policies and procedures do not allow for reclassification of a defaulted obligor to a non- defaulted obligor status only as result of changes in the terms or conditions of the credit obligations, unless the institution has assessed that those changes enable the obligor to be considered as no longer being unlikely to pay."
,,,6. Competent authorities shall assess the robustness of the institution's analysis on which it has based its approach on reclassification. They shall verify that the analysis takes into account the institution's previous default experience and the portion of defaulted obligors that return to non-defaulted status and default again within a short period of time.
"CHAPTER 7 Assessment methodology for rating systems design, operational details and documentation",,,
,SECTION 1 GENERAL,,
,,Article 30 General,
,,,"1. In order to assess whether an institution is compliant with the requirements on the design, management and documentation of rating systems, as referred to in Article 144(1)(e) of Regulation (EU) No 575/2013, competent authorities shall verify in particular all of the following:"
,,,"(a) the adequacy of the documentation on the design, operational details and rationale of the rating systems, as referred to in Article 175 of Regulation (EU) No 575/2013, according to the provisions of Section 2;"
,,,"(b) the adequacy of the structure of the rating systems, as referred to in Article 170 of Regulation (EU) No 575/2013, according to the provisions of Section 3;"
,,,"(c) the application by the institution of the specific requirements for statistical models or other mechanical methods, as referred to in Article 174 of Regulation (EU) No 575/2013, according to the provisions of Section 4."
,,,"2. For the purposes of paragraph 1, competent authorities shall apply all of the following core methods:"
,,,(a) review the institution's relevant internal policies;
,,,(b) review the institution's technical documentation on methodology and process of the rating systems development;
,,,"(c) review the development manuals, methodologies and processes on which the rating systems are based;"
,,,"(d) review the minutes of the institution's internal bodies responsible for approving the rating systems, including the management body or other committees designated by it;"
,,,"(e) review the reports on the performance of the rating systems and the recommendations of the credit risk control unit, validation function, internal audit function or any other control function of the institution;"
,,,"(f) review the progress reports on the effort of the institution to correct shortfalls and mitigate risks detected during monitoring, validations and relevant audits;"
,,,(g) obtain written statements or interview the relevant staff and senior management of the institution.
,,,"3. For the purposes of paragraph 1,competent authorities may also apply any of the following additional methods:"
,,,(a) request and analyse data used in the process of developing the rating systems;
,,,(b) conduct their own estimations or replicate those of the institution performed during the development and monitoring of the rating systems using relevant data supplied by the institution;
,,,(c) request additional documentation or that the institution carries out analysis substantiating the choice of methodology for designing the rating system and the results obtained from the institution;
,,,(d) review the functional documentation of the IT systems relevant to the scope of the assessment of this Chapter;
,,,(e) perform their own tests on the data of the institution or request the institution to perform tests proposed by the competent authorities;
,,,(f) review other relevant documents of the institution.
,SECTION 2 METHODOLOGY FOR ASSESSING THE DOCUMENTATION ON THE DESIGN AND OPERATIONAL DETAILS OF RATING SYSTEMS,,
,,Article 31 Documentation of rating systems,
,,,"In assessing the documentation on the design, operational details and rationale of the rating systems as referred to in point (a) of Article 30(1), competent authorities shall verify both of the following:"
,,,"(a) the completeness of the documentation, in accordance with Article 32;"
,,,"(b) the procedures for gathering and storing the information on the rating systems, in accordance with Article 33."
,,Article 32 Completeness of the documentation,
,,,"1. In assessing the completeness of the documentation on the design, operational details and rationale of the rating systems, competent authorities shall verify that the documentation fully covers all of the following areas:"
,,,(a) the adequacy of the rating system and the models used within the rating system taking into account the portfolio characteristics;
,,,(b) a description of data sources and data cleansing practices;
,,,(c) definitions of default and loss;
,,,(d) methodological choices;
,,,(e) technical specification of the models;
,,,(f) the models' weaknesses and limitations and possible mitigating factors thereof;
,,,(g) the results of whether the implementation of the models in IT terms was successful and error-free;
,,,"(h) a self-assessment of compliance with regulatory requirements for the Internal Ratings Based Approach as referred to in Section 6, Chapter 3, Title II, Part three of Regulation (EU) No 575/2013."
,,,"2. For the purposes of paragraph 1(a), competent authorities shall verify that:"
,,,(a) the documentation clearly outlines the purpose of the rating system and the models;
,,,"(b) the documentation includes a description of the scope of application of the rating system and the models, that specifies the type of exposures covered by each model within the rating system, both in a qualitative and in a quantitative manner, and the type of outputs including where they will be used and for what reason;"
,,,"(c) the documentation includes an explanation about how the information obtained by means of the rating system and the models results is taken into account for the purposes of risk management, decision making and credit approval processes ,as referred to in Article 19."
,,,"3. For the purposes of paragraph 1(b), competent authorities shall verify that the documentation includes:"
,,,"(a) detailed information regarding all data used for the model development, including a precise definition of the content of the model, its source, format and coding and, where applicable, exclusions of data from it;"
,,,"(b) any data cleansing procedures including procedures for data exclusions, outlier detection and treatment and data adaptations, as well as explicit justification for their use and an evaluation of their impact."
,,,"4. For the purposes of paragraph 1(c), competent authorities shall verify whether the definitions of default and loss used in the development of the model are adequately documented, in particular where different definitions of default are used for the purpose of model specification than that which is actually being used by the institution in accordance with Article 178 of Regulation (EU) No 575/2013."
,,,"5. For the purposes of paragraph 1(d), competent authorities shall verify that the documentation includes:"
,,,"(a) detail on the design, theory, assumptions, and logic underlying the model;"
,,,"(b) detailed descriptions of the model methodologies and their rationale, statistical techniques and approximations and, where appropriate, the rationale and details on segmentation methods, the outputs of statistical processes and the diagnostics and measures of predictive power of the models;"
,,,"(c) the role of business experts in developing the rating system and models, including a detailed description of the consultation process with the business experts in the design of the rating system and models as well as outputs and rationale provided by the business experts;"
,,,(d) an explanation on how the statistical model and human judgement are combined to derive the final model output;
,,,"(e) an explanation of the manner in which the institution takes into account unsatisfactory quality of data, lack of homogeneous pools of exposures, changes in business processes, economic or legal environment and other factors relating to quality of data that may affect the performance of the rating system or model;"
,,,"(f) a description of the analyses performed for the purposes of statistical models or other mechanical methods, as applicable:"
,,,(i) the univariate analysis of the variables considered and respective criteria for variable selection;
,,,(ii) the multivariate analysis of the variables selected and respective criteria for variable selection;
,,,"(iii) the procedure for the design of the final model: final selection of variables, including adjustments based on human judgement to the variables resulting from the multivariate analysis, variables' transformations, assignment of weights to the variables and the method of composition of model components, in particular where the contribution of qualitative and quantitative component is joined."
,,,"6. For the purposes of paragraph 1(e), competent authorities shall verify that the documentation includes:"
,,,"(a) the technical specification of the final model structure, including final model specification, input components including type and format of selected variables, weights applied for variables and output components including type and format of output data;"
,,,(b) references to the computer codes and tools used in terms of IT-languages and programs allowing a third party to reproduce the final results. This third party may be the vendor in the case vendor models.
,,,"7. For the purposes of paragraph 1(f), competent authorities shall verify that documentation includes a description of the weaknesses and limitations of the model, an assessment of whether the key assumptions of the model are met and an anticipation of situations where the model may perform below expectations or become inadequate as well as an assessment of the significance of model weaknesses and possible mitigating factors thereof."
,,,"8. For the purposes of paragraph 1(g), competent authorities shall verify that:"
,,,(a) the documentation specifies the process to be followed when a new or changed model is implemented in the production environment;
,,,"(b) the documentation covers the results of the tests of the implementation of the rating models in the IT systems, including the confirmation that the rating model implemented in the production system is the same as the one described in the documentation and is operating as intended."
,,,"9. For the purposes of paragraph 1(h), competent authorities shall verify that the institution's self-assessment of compliance with regulatory requirements for the Internal Ratings Based Approach is performed separately for each rating system and is reviewed by the internal audit or another comparable independent auditing unit."
,,Article 33 Register of rating systems,
,,,"1. In assessing the procedures for gathering and storing the information on the rating systems as referred to in Article 31(b), competent authorities shall verify that the institution has implemented and keeps updated a register of all rating systems  including all current and past versions of rating systems for the period of at least three years ('register of rating systems')."
,,,"2. For the purposes of paragraph 1, competent authorities shall verify that the procedures for the register of rating systems include the recording of at least the following information:"
,,,"(a) the scope of the rating system, specifying which types of exposures shall be rated by each rating model;"
,,,"(b) the approval body and date of approval, the date of notification to the competent authorities, the date of the approval by the competent authorities, where applicable, and the date of implementation of the version;"
,,,"(c) a brief description of all changes performed relatively to the last version, including the aspects of the rating system changed and reference to model documentation;"
,,,(d) the change category assigned in accordance with Commission Delegated Regulation (EU) No 529/2014 of 12 March 2014 and reference to the criteria for assignment to a change category.
,SECTION 3 METHODOLOGY FOR ASSESSING THE STRUCTURE OF RATING SYSTEMS,,
,,Article 34 Structure of rating systems,
,,,"In order to assess the structure of rating systems in accordance with Article 30(1)(b), competent authorities shall verify all of the following:"
,,,"(a) the structure of the rating system in terms of risk drivers and rating criteria, in accordance with Articles 170(1)(a), (c) and (e), 170(3)(a) and 170(4) of Regulation (EU) No 575/2013, as set out in Article 35;"
,,,"(b) the distribution of obligors and exposures in the grades or pools, in accordance with Articles 170(1)(b) (d) (f), 170(2) and 170(3)(c) of Regulation (EU) No 575/2013, as set out in Article 36;"
,,,"(c) the ability of the rating system to differentiate risk, in accordance with Articles 170(1) and (3)(b) and (c) of Regulation (EU) No 575/2013, as set out in Article 37;"
,,,"(d) the homogeneity of obligors and exposures assigned to the same grade or pool, in accordance with Article 170(1) and (3)(c) of Regulation (EU) No 575/2013, as set out in Article 38."
,,Article 35 Risk drivers and rating criteria,
,,,"1. In assessing the risk drivers and rating criteria used in the rating system in accordance with Article 34(a), competent authorities shall in particular verify all of the following:"
,,,"(a) the selection process of the relevant risk drivers and rating criteria, including the definition of potential risk drivers, criteria for selection of risk drivers and decisions taken on the relevant risk drivers;"
,,,(b) the consistency of the selected risk drivers and rating criteria and their contribution to the risk assessment with the expectations of the business users of the rating system;
,,,(c) the consistency of the risk drivers and rating criteria selected on the basis of statistical methods with the statistical evidence on risk differentiation associated with each grade or pool.
,,,"2. The potential relevant risk drivers and rating criteria to be analysed according to paragraph 1(a) shall include the following, where available for a given type of exposures:"
,,,"(a) obligor risk characteristics, including:"
,,,"(i) for exposures to corporates and institutions: financial statements, qualitative information, industry risk, country risk, support from parent entity;"
,,,"(ii) for retail exposures: financial statements or personal income information, qualitative information, behavioural information, sociodemographic information."
,,,"(b) transaction risk characteristics, including type of product, type of collateral, seniority, loan-to-value ratio;"
,,,"(c) information on delinquency, internal information or derived from external sources as credit bureaus."
,,Article 36 Distribution of obligors and exposures in the grades or pools,
,,,"1. In assessing the distribution of obligors and exposures within the grades or pools of each rating system in accordance with Article 34(b), competent authorities shall verify that:"
,,,"(a) the number of rating grades and pools is adequate to ensure a meaningful risk differentiation and a quantification of the loss characteristics at the grade or pool level, in particular that:"
,,,"(i) for exposures to corporates, institutions, central governments and central banks and specialised lending exposures, the obligor rating scale has at least the number of grades set out in Article 170(1)(b) and (2) of Regulation (EU) No 575/2013, respectively;"
,,,"(ii) for purchased receivables classified as retail exposures, that the grouping reflects the seller's underwriting practices and the heterogeneity of its customers."
,,,"(b) the concentration of numbers of exposures or obligors is not excessive in any grade or pool, unless supported by convincing empirical evidence of homogeneity of risk of those exposures or obligors;"
,,,"(c) the rating and facility grades or pools for retail exposures, do not have too few exposures or obligors in a single grade or pool, unless supported by convincing empirical evidence of adequacy of the grouping of those exposures or obligors or direct estimates of risk parameters for individual obligors or exposures are used in accordance with Article 169(3) of Regulation (EU) No 575/2013;"
,,,"(d) the rating and facility grades or pools for exposures to corporates, institutions, central governments and central banks, where sufficient data is available, do not have too few exposures or obligors in a single grade or pool, unless supported by convincing empirical evidence of adequacy of the grouping of those exposures or obligors or direct estimates of risk parameters for individual obligors or exposures are used in accordance with Article 169(3) of Regulation (EU) No 575/2013."
,,,"2. For the purpose of paragraph 1, and in addition to the verification laid down in paragraph 1, competent authorities shall assess, where appropriate, the criteria applied by the institution when determining:"
,,,(a) the maximum and minimum overall number of grades or pools;
,,,(b) the proportion of exposures and obligors assigned to each grade or pool.
,,,"3. For the purposes of paragraphs 1 and 2, competent authorities shall take into account the current and past observed distributions of the number of exposures and obligors and of the exposure values, including the migration of exposures and obligors between different grades or pools."
,,Article 37 Risk differentiation,
,,,"1. In assessing the risk differentiation of each rating system in accordance with Article 34(c) for retail exposures, competent authorities shall verify all of the following:"
,,,"(a) that the tools used to assess risk differentiation are sound and adequate considering the available data, and are also evidenced with records of time series of realised default rates or loss rates for grades or pools under various economic conditions;"
,,,(b) that the expected performance of the rating system in terms of risk differentiation is defined by the institution in terms of clearly established fixed targets and tolerances for defined metrics and tools as well as actions to rectify deviations from these targets or tolerances; separate targets and tolerances may be defined for the initial development and the ongoing performance;
,,,(c) that the targets and tolerances for defined metrics and tools and mechanisms applied to meet those targets and tolerances ensure sufficient differentiation of risk.
,,,2. Paragraph 1 shall also apply in the case of exposures other than retail whenever sufficient quantity of data is available.
,,Article 38 Homogeneity,
,,,"1. In assessing the homogeneity of obligors or exposures assigned to the same grade or pool as referred to in Article 34(d), competent authorities shall assess the similarity of the obligors and transaction loss characteristics included in each grade or pool with regard to all of the following factors:"
,,,(i) internal ratings;
,,,(ii) estimates of PD;
,,,"(iii) where applicable, own estimates of LGD;"
,,,"(iv) where applicable, own estimates of conversion factors;"
,,,"(v) where applicable, own estimates of total losses. Competent authorities shall assess the above factors, for each rating system in the case of retail exposures, and for those ratings systems in the case of exposures other than retail, where sufficient quantity of data is available."
,,,"2. For the purposes of paragraph 1, competent authorities shall assess the range of values and the distributions of the obligor and transaction loss characteristics included within a single grade or pool."
,SECTION 4 METHODOLOGY FOR ASSESSING SPECIFIC REQUIREMENTS FOR STATISTICAL MODELS OR OTHER MECHANICAL METHODS,,
,,Article 39 General,
,,,"In assessing the specific requirements for statistical models or other mechanical methods as referred to in Article 30(1)(c), competent authorities shall verify in particular:"
,,,"(a) the data vetting process and representativeness of data, as referred to in Article 174(b) and (c) of Regulation (EU) No 575/2013, in accordance with Article 40;"
,,,"(b) the model design including identification of its weaknesses, as referred to in Article 174(a) of Regulation (EU) No 575/2013, in accordance with Article 41;"
,,,"(c) the proportionate and adequate incorporation of human judgement, as referred to in Article 174(e) of Regulation (EU) No 575/2013, in accordance with Article 42;"
,,,"(d) the predictive power of the model, as referred to in Article 174(a) of Regulation (EU) No 575/2013, in accordance with Article 43."
,,Article 40 Data requirements,
,,,"1. In assessing the process for vetting data inputs into the model as referred to in Article 39(a), competent authorities shall verify in particular:"
,,,"(a) the reliability and quality of the internal and external data sources and the range of data obtained from those sources, as well as the time period the sources cover;"
,,,"(b) the process of data merging, where the model is fed with the data from multiple data sources;"
,,,"(c) the rationale and scale of data exclusions broken down by reason for exclusion, using statistics of the share of total data which each exclusion covers, where certain data were excluded from the model development sample;"
,,,"(d) the procedures for dealing with erroneous and missing data and treatment of outliers and categorical data, and that, where there has been a change in the type of categorization, this did not lead to decreased data quality or structural breaks in the data;"
,,,"(e) the data transformation processes, including standardization and other functional transformations and the appropriateness of those transformations in terms of the risk of model overfitting."
,,,"2. In assessing the representativeness of the data used as referred to in Article 39(a), competent authorities shall verify:"
,,,(a) the comparability of the structure of exposures covered by a particular rating model as regards risk characteristics of the obligors or facilities;
,,,(b) the comparability of the underwriting and recovery standards with the ones applied at the time of the reference data set used for the modelling;
,,,"(c) the consistency of default definition over time in the data used for the modelling, in particular:"
,,,(i) that adjustments have been made to achieve consistency with the current default definition where the default definition has been changed during the observation period;
,,,"(ii) that adequate measures have been adopted by the institution, where the institution operates in several jurisdictions having different default definitions;"
,,,(iii) that the default definition used for the purposes of model specification does not have a negative impact on the structure and performance of the rating model where this definition is different from the definition of default used by the institution in accordance with Article 178 of Regulation (EU) No 575/2013;
,,,"(d) the relevance and adequacy of external data or data pooled across institutions for the institution's exposures, products and risk profile, where such data is used in the model development."
,,Article 41 Model design,
,,,"In assessing the rating model design as referred to in Article 39(b), competent authorities shall verify:"
,,,(a) the adequacy of the model having regard to its specific application;
,,,(b) the institution's analysis of alternative assumptions or alternative approaches to those chosen in the model;
,,,(c) the institution's methodology for model development;
,,,"(d) that the institution's relevant staff fully understands the model's capabilities and limitations, in particular that the model documentation of the institution:"
,,,"(i) describes which of the model limitations are related to the model inputs, uncertain assumptions, the processing component of the model, or whether the model output is performed manually or in the IT system;"
,,,(ii) identifies situations where the model can perform below expectations or become inadequate as well assesses the materiality of model weaknesses and possible mitigating factors thereof.
,,Article 42 Human judgement,
,,,"In assessing the human judgement applied in the development of the rating model and the process of assignment of exposures to grades or pools as referred to in Article 39(c), competent authorities shall verify that:"
,,,"(a) the manner in which human judgement is applied is justified, fully documented and its impact on the rating system is assessed, including if possible the computation of the marginal contribution of human judgement to the performance of the rating system;"
,,,(b) all relevant information not considered in the model is taken into account and an adequate level of conservatism is applied;
,,,"(c) where the process of assignment of exposures to grades or pools in a rating system requires the application of human judgement in the form of subjective input data or where the credit policy allows for overrides of inputs or outputs of the model, that all of the following applies:"
,,,(i) the manual for model users clearly defines the input data and the situations where the input data can be adjusted by human judgement;
,,,(ii) the situations where the input data have actually been adjusted are limited;
,,,(iii) the manual for model users clearly defines the situations where the input or output of rating models may be overridden and the procedures for overriding the input or output of the models;
,,,(iv) all data regarding the application of human judgement and the situations where the inputs or outputs of the rating models have been overridden are stored and analysed periodically by the credit risk control unit or validation function in terms of its impact on the rating model;
,,,(d) the application of human judgement is appropriately managed and proportionate to the type of exposures for each rating system.
,,Article 43 Model performance,
,,,"In assessing the predictive power of the model, as referred to in Article 39(d), competent authorities shall verify that the institution's internal standards:"
,,,(a) provide an outline of the assumptions and theory underlying the metrics chosen by the institution for the purpose of the assessment of the model's performance;
,,,"(b) specify the application of the metrics, indicate whether the use of each metric is compulsory or discretionary and when it is to be used and ensure that the metrics are used coherently;"
,,,"(c) specify the conditions of the applicability and acceptable thresholds and accepted deviations for the metrics and set out whether and, if so, how statistical errors related to the values of those metrics are incorporated in the assessment process, and, where more than one metric is calculated, establishes the methods of aggregating several test results to one single assessment;"
,,,"(d) determine a process for escalating events of model performance deterioration leading to the breach of the thresholds referred to in point (c) to the higher management levels, with clear guidance on how the outcomes of the metrics are considered by relevant parties responsible for taking final decision as regards implementation of the necessary changes to the model."
CHAPTER 8 Assessment methodology for risk quantification,,,
,SECTION 1 GENERAL,,
,,Article 44 General,
,,,"1. In order to assess compliance of an institution with the requirements on quantification of risk parameters, as referred to in Article 144(1)(a) of Regulation (EU) No 575/2013, competent authorities shall, in particular, verify the institution's:"
,,,(a) compliance with the overall requirements for estimation as referred to in Article
,,,"179 of Regulation (EU) No 575/2013, in accordance with Section 2;"
,,,"(b) compliance with the requirements specific to PD estimation as referred to in Article 180 of Regulation (EU) No 575/2013, in accordance with Section 3;"
,,,"(c) compliance with the requirements specific to own-LGD estimates as referred to in Article 181 of Regulation (EU) No 575/2013, in accordance with Section 4;"
,,,"(d) compliance with the requirements specific to own-conversion factor estimates as referred to in Article 182 of Regulation (EU) No 575/2013, in accordance with Section 5;"
,,,"(e) compliance with the requirements for assessing the effect of guarantees and credit derivatives as referred to in Article 183 of Regulation (EU) No 575/2013, in accordance with Section 6;"
,,,"(f) compliance with the requirements for purchased receivables as referred to in Article 184 of Regulation (EU) No 575/2013, in accordance with Section 7."
,,,"2. For the purposes of paragraph 1, competent authorities shall apply all of the following core methods:"
,,,(a) review the institution's relevant internal policies;
,,,(b) review the institution's technical documentation of relevant estimation methodology and process;
,,,"(c) review and challenge the relevant model development manuals, methodologies and processes;"
,,,"(d) review the relevant minutes of the institution's internal bodies, including the management body, model committee, or other committees;"
,,,"(e) review the reports on risk parameters' performance and the recommendations made by the credit risk control unit, validation function, internal audit function or any other control function of the institution;"
,,,"(f) assess progress reports on the effort of the institution to correct shortfalls and mitigate risks detected during relevant audits, validations and monitoring;"
,,,(g) obtain written statements or interview the relevant staff and the senior management of the institution.
,,,"3. For the purposes of paragraph 1, competent authorities may also apply any of the following additional methods:"
,,,(a) request the provision of additional documentation or analysis substantiating the institution's methodological choices and the results obtained;
,,,(b) conduct their own or replicate the institution's estimations of risk parameters using the relevant data supplied by the institution;
,,,(c) request and analyse the data used in the process of estimation;
,,,(d) review the functional documentation of the IT systems which are relevant to the scope of the assessment;
,,,(e) perform own tests on the data of the institution or request the institution to perform tests proposed by the competent authorities;
,,,(f) review other relevant documents of the institution.
,SECTION 2 METHODOLOGY FOR ASSESSING OVERALL REQUIREMENTS FOR QUANTIFICATION OF RISK PARAMETERS,,
,,Article 45 Data requirements,
,,,"1. In assessing the overall requirements for estimation and the quality of the data used for the quantification of risk parameters as referred to in Article 44(1)(a), competent authorities shall verify:"
,,,(a) the completeness of the quantitative and qualitative data and other information in relation to the methods used for the quantification of risk parameters to ensure that all relevant historical experience and empirical evidence are used;
,,,(b) the availability of the quantitative data that provides a breakdown of the loss experience by the factors which drive the respective risk parameters as referred to in Article 179(1)(b) of Regulation (EU) No 575/2013;
,,,(c) the representativeness of the data used to estimate the risk parameters for certain types of exposures;
,,,"(d) the adequacy of the number of exposures in the sample and the length of the data period referred to in Articles 48, 50 and 56, used for the quantification to ensure that the estimates of the institution are accurate and robust;"
,,,"(e) the justification and documentation of all data cleansing, including the exclusion of some observations from the estimation and the confirmation that this does not bias the risk quantification; in particular for PD estimates, that the impact of the data cleansing on the long-run average default rate is justified and documented;"
,,,"(f) the consistency between the data sets used for the risk parameters estimation, in particular with regard to the default definition, treatment of defaults, including multiple defaults as described in Articles 49 and 52, and the sample composition."
,,,"2. For the purposes of point (c) of paragraph 1, competent authorities shall assess the representativeness of the data used to estimate the risk parameters for certain types of exposures, in particular by assessing:"
,,,"(a) the structure of exposures covered by each rating model and the different risk characteristics of the obligors or facilities, and whether the current portfolio is comparable to the required degree to the portfolios constituting the reference data set;"
,,,(b) the comparability of the current underwriting and recovery standards with the ones applied at the time of the reference data set;
,,,"(c) the consistency of default definition in the observation period, in particular:"
,,,"(i) where the default definition has been changed in the observation period, the description of the adjustments performed in order to achieve the required level of consistency with current default definition;"
,,,"(ii) where default definitions vary across the jurisdictions in which the institution operates, the adequacy of measures and conservatism adopted by the institution;"
,,,"(d) where external data and data pooled across institutions are used in the quantification of risk parameters, the relevance and appropriateness of these data for the institution's exposures, products and risk profile and the definition of default;"
,,,"(e) where the external or pooled data are not consistent with the institution's internal default definition, the description of adjustments to the external or pooled data performed by the institution in order to achieve the required level of consistency with the internal default definition."
,,,"3. In assessing the quality of the data pooled across institutions that is used for quantification of risk parameters, competent authorities shall apply the requirements laid down in paragraphs 1 and 2 in addition to the requirements laid down in Article 179(2) of Regulation (EU) No 575/2013."
,,Article 46 Review of estimates,
,,,"In assessing the regular revision of risk parameter estimates as referred to in Article 179(1)(c) of Regulation (EU) No 575/2013, competent authorities shall verify that:"
,,,(a) the process and the annual plan for the review of estimates provide for the timely review of all estimates;
,,,(b) criteria for the identification of situations which trigger a more frequent review have been identified;
,,,(c) the methodologies and data used for the estimation of risk parameters reflect changes in the underwriting process and in the composition of the portfolios;
,,,"(d) the methodologies and data used for the LGD estimation reflect changes in the recovery process, the types of recoveries and the duration of the recovery process;"
,,,(e) the methodologies and data used for the conversion factor estimation reflect changes in the monitoring process of undrawn amounts;
,,,"(f) the data set used for the estimation of risk parameters includes the relevant data from the latest observation period, and are updated at least on an annual basis;"
,,,(g) the technical advances and other relevant information are reflected in the risk parameters estimates.
,,Article 47 Margin of conservatism,
,,,"1. Competent authorities shall assess whether an appropriate margin of conservatism is included in the estimated values of risk parameters as referred to in Article 179(1)(f) of Regulation (EU) No 575/2013, in particular where any of the following considerations apply:"
,,,"(a) the methods and data do not provide sufficient certainty of the risk parameter estimates, including where there are high estimation errors;"
,,,"(b) relevant deficiencies in the methods, information and data have been identified by the credit risk control unit, validation function or internal audit function or any other function of the institution;"
,,,(c) relevant changes to the standards of underwriting or recovery policies or changes in the institution's risk appetite.
,,,"2. The requirements laid down in paragraph 1 shall not prevent an application of the requirements laid down in Article 146 of Regulation (EU) No 575/2013 and any related corrective actions by the institution, but shall apply in addition to them."
,SECTION 3 METHODOLOGY FOR ASSESSING REQUIREMENTS SPECIFIC FOR PD ESTIMATION,,
,,Article 48 Length of the historical observation period,
,,,"In assessing the length of the historical observation period and the calculation of one- year default rates as referred to in Articles 180(1)(e) and (h), 180(2)(e), 180(3)(a) of Regulation (EU) No 575/2013, competent authorities shall verify in particular:"
,,,"(a) that the length of the historical observation period covers at least the minimum length in accordance with the requirements laid down in Article 180(1)(h) and Article 180(2)(e) of Regulation (EU) No 575/2013 and, where applicable, the Commission Delegated Regulation adopting technical standards laid down in Article 180(3)(a) of Regulation (EU) No 575/2013;"
,,,"(b) where the available historical observation period is longer than the minimum required by Article 180(1)(h) and Article 180(2)(e) of Regulation (EU) No 575/2013 for a data source and the data obtained from it are relevant, that the information for that longer period is used in order to estimate the long-run average of one-year default rates;"
,,,"(c) for retail exposures where the institution does not give equal importance to all historical data used, that this is justified by better prediction of default rates and that a zero or very small weight applied to a specific period should either be duly justified or lead to more conservative estimates;"
,,,(d) that there is consistency between underwriting standards and the rating systems in place and that comparable underwriting standards were used at the time of generating the internal default data or that changes in underwriting standards and rating systems have been addressed by applying the margin of conservatism as referred to in Article 47(1)(c);
,,,"(e) for exposures to corporates, institutions, central governments and central banks, that the definition of highly leveraged obligors and obligors whose assets are predominantly traded assets as well as the identification of periods of stressed volatilities for those obligors as referred to in Article 180(1)(a) of Regulation (EU) No 575/2013 are adequate."
,,Article 49 Method of PD estimation,
,,,"1. In assessing the method of PD estimation, as referred to in Article180 of Regulation (EU) No 575/2013, competent authorities shall verify that the requirements of paragraphs 2 to 10 are met."
,,,"2. For the purposes of paragraph 1, competent authorities shall verify that the one-year default rate for each grade or pool is calculated in a manner consistent with the characteristics of the one-year default rate as defined in Article 4(1)(78) of Regulation (EU) No 575/2013, and they shall verify, in particular, that:"
,,,(a) the denominator of the one-year default rate includes the obligors or exposures which are not in default and which are assigned to that rating grade or pool at the beginning of a one year period;
,,,"(b) the numerator of the one-year default rate includes those of the obligors or exposures referred to in point (a) that have defaulted within that one year period; multiple defaults for the same obligor or exposure, determined in accordance with point (b) of Article 52, which have been observed during the one year period relating to the default rate, are considered to be a single default having occurred on the date of the first of those multiple defaults."
,,,"3. For the purposes of paragraph 1, competent authorities shall verify that the method of PD estimation by obligor grade or pool is based on the long-run average of one-year default rates. To this effect, competent authorities shall consider that the period used by the institution is adequate for the estimation of the long-run average of one-year default rates in a given type of exposures where the relevant period is representative of the likely range of variability of default rates in that type of exposures."
,,,"4. Where observed data used for the modelling are not likely to be representative of the range of variability of the default rate of a type of exposures, competent authorities shall verify that both of the following conditions are met:"
,,,(a) the institution uses an appropriate method for estimating the average of oneyear default rates over a period that is representative of the variability of the default rates of that type of exposures;
,,,"(b) an appropriate margin of conservatism is applied where, after applying an appropriate method as referred to in point (a), the estimation of the averages of default rates is found to be unreliable or to have other limitations ,."
,,,"5. For the purposes of paragraph 1, competent authorities shall verify that all of the following are adequate to the type of exposures to which they are applied:"
,,,(i) the functional and structural form of the estimation method;
,,,(ii) assumptions regarding the estimation method;
,,,(iii) the cyclicality of the estimation method;
,,,(iv) the length of data series used in accordance with Article 48;
,,,(v) the margin of conservatism in accordance with Article 47;
,,,"(vi) the human judgement and, where applicable, the choice of risk drivers."
,,,"6. For the purposes of paragraph 1, for exposures to corporates, institutions, central governments and central banks, where the obligors are highly leveraged or with predominantly traded assets, competent authorities shall verify that the PD reflects the performance of the underlying assets in the periods of stressed volatility as referred to in Article 180(1)(a) of Regulation (EU) No 575/2013."
,,,"7. For the purposes of paragraph 1, for exposures to corporates, institutions, central governments and central banks, where the institution makes use of an ECAI rating scale, competent authorities shall verify the institution's analysis of compliance with the requirements laid down in Article 180(1)(f) of Regulation (EU) No 575/2013, and check that that analysis takes into account the representativeness of the types of exposures rated by ECAI to the institution's types of exposures and the time horizon for the credit assessment of ECAI."
